COLLEGE,MAJOR,DEGREE,#_OF_NOTIFICATIONS,GPA,RISK,EARNED_CREDITS,ENROLLED,STUDENT_CLASSIFICATION
ARTSC,BA_SOCP,BA,0,3,Medium,27,N,10
ARTSC,BS_PSY,BS,2,2.22,High,43,N,20
ARTSC,BS_PSY,BS,1,1.75,High,35,N,20
ARTSC,BS_PSY,BS,0,2.35,Medium,39,N,20
ARTSC,BS_PSY,BS,0,0,Unknown,0,N,10
ARTSC,BS_PSY,BS,1,1.4,High,21,N,10
ARTSC,BS_PSY,BS,1,1.98,High,41,N,20
ARTSC,BA_PSY,BA,0,3.33,Low,27,N,10
ARTSC,BA_SOCP,BA,1,0,Unknown,29,N,10
ARTSC,BS_PSY,BS,0,3,Medium,30,N,20
ARTSC,BA_PSY,BA,1,0.6,High,9,N,10
ARTSC,BS_PSY,BS,1,1.8,High,32,N,20
ARTSC,BA_PSY,BA,0,3.9,Low,61,N,30
ARTSC,BA_SOCP,BA,1,2.71,Medium,34,N,20
ARTSC,BA_SOCP,BA,2,0,Unknown,67,N,30
ARTSC,BA_PSY,BA,1,1.98,High,37,N,20
ARTSC,BS_PSY,BS,1,1.8,Medium,12,N,10
ARTSC,BA_SOCP,BA,2,0.6,High,65.94,N,30
ARTSC,BA_PSY,BA,1,2.8,Medium,12,N,10
ARTSC,BS_PSY,BS,0,2.4,Medium,107,N,40
ARTSC,BS_PSY,BS,0,3.07,Medium,60,N,30
ARTSC,BA_SOCP,BA,2,1.86,High,74,N,30
ARTSC,BS_PSY,BS,0,2.77,Medium,52,N,20
ARTSC,BS_PSY,BS,1,3.11,Medium,64,N,30
ARTSC,BS_PSY,BS,1,2.63,High,24,N,10
ARTSC,BS_PSY,BS,0,0,Unknown,0,N,10
ARTSC,BA_PSY,BA,1,0,Unknown,0,N,10
ARTSC,BS_PSY,BS,0,0,Unknown,0,N,10
ARTSC,BA_SOCP,BA,3,1,Medium,66,N,30
ARTSC,BA_SOCP,BA,0,2.25,High,24,N,10
ARTSC,BA_SOCP,BA,0,3.67,Low,31,N,20
ARTSC,BA_PSY,BA,2,1.59,High,25,N,10
ARTSC,BS_PSY,BS,1,0.81,High,35,N,20
ARTSC,BA_PSY,BA,2,2.3,High,54,N,20
ARTSC,BS_PSY,BS,0,3.75,Medium,12,N,10
ARTSC,BS_PSY,BS,1,0,Unknown,0,N,10
ARTSC,BS_PSY,BS,1,2.74,Medium,59,N,20
ARTSC,BS_PSY,BS,2,1.39,High,54,N,20
ARTSC,BA_SOCP,BA,3,NA,Unknown,46,N,20
ARTSC,BS_PSY,BS,0,1.35,High,29,N,10
ARTSC,BA_PSY,BA,2,1.33,Medium,22,N,10
ARTSC,BS_PSY,BS,0,3.12,Low,65,N,30
ARTSC,BS_PSY,BS,3,1.64,High,59,N,20
ARTSC,BA_SOCP,BA,1,0.75,High,6,N,10
